Ano,Região Geográfica,Unidade da Federação,Município,Total,Educacao Infantil,Ensino Fundamental,Ensino Médio,Educação Profissional,Educação de Jovens e Adultos (EJA),Federal,Estadual,Municipal,Privada,Urbana,Rural,Feminino,Masculino,Não Declarada,Branca,Preta,Parda,Amarela,Indígena,Até 3 anos,4 a 5 anos,6 a 10 anos,11 a 14 anos,15 a 17 anos,18 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 anos ou mais
2015, Sul  , Santa Catarina  , Tunápolis  ,882,188,528,153,18,13,0,469,413,0,678,204,437,445,319,546,5,12,0,0,86,99,281,220,170,14,8,1,2,1,0
2015, Sul  , Santa Catarina  , Turvo  ,2754,641,1565,412,19,136,0,1177,1200,377,2313,441,1397,1357,272,2386,38,57,0,1,341,291,855,669,441,55,33,18,11,11,29
2015, Sul  , Santa Catarina  , União do Oeste  ,555,117,321,117,0,0,0,259,296,0,314,241,280,275,187,233,1,134,0,0,52,61,174,148,115,3,2,0,0,0,0
2015, Sul  , Santa Catarina  , Urubici  ,2346,529,1403,361,0,53,0,988,1040,318,1891,455,1164,1182,738,1333,23,242,9,1,255,263,683,624,401,56,37,10,2,4,11
2015, Sul  , Santa Catarina  , Urupema  ,543,88,351,73,20,11,31,355,157,0,450,93,277,266,254,222,11,52,4,0,33,53,150,178,93,11,16,4,2,0,3
2015, Sul  , Santa Catarina  , Urussanga  ,3651,839,2032,660,0,120,0,1821,1610,220,2998,653,1799,1852,1380,2139,42,89,1,0,429,405,1103,865,653,94,62,14,7,11,8
2015, Sul  , Santa Catarina  , Vargeão  ,905,241,514,128,0,22,0,345,560,0,798,107,461,444,116,487,13,287,1,1,93,130,277,230,147,13,9,3,0,1,2
2015, Sul  , Santa Catarina  , Vargem  ,672,136,449,87,0,0,0,315,357,0,652,20,322,350,578,77,0,17,0,0,67,65,205,221,103,8,2,0,0,0,1
2015, Sul  , Santa Catarina  , Vargem Bonita  ,1178,205,682,224,0,67,0,703,475,0,1178,0,582,596,489,520,6,144,19,0,84,110,342,303,245,24,18,8,8,9,27
2015, Sul  , Santa Catarina  , Vidal Ramos  ,1429,329,875,190,0,35,0,629,800,0,1095,334,721,708,208,1192,9,18,2,0,165,163,456,361,232,17,11,2,7,6,9
2015, Sul  , Santa Catarina  , Videira  ,12395,2783,6226,1971,815,928,491,4386,5262,2256,12066,329,5912,6483,6142,5511,55,642,41,4,1562,1190,3218,2881,2134,399,421,228,136,113,113
2015, Sul  , Santa Catarina  , Vitor Meireles  ,1135,183,752,166,0,34,0,558,577,0,935,200,547,588,752,351,0,8,0,24,71,100,368,343,207,14,14,5,3,4,6
2015, Sul  , Santa Catarina  , Witmarsum  ,838,185,500,118,0,35,0,505,333,0,766,72,421,417,6,789,8,31,0,4,83,97,269,193,158,13,8,7,0,3,7
2015, Sul  , Santa Catarina  , Xanxerê  ,11245,2210,5829,1784,775,716,89,4329,3657,3170,11171,74,5376,5869,5994,4054,38,1051,82,26,1081,1057,2985,2729,2098,315,363,238,135,115,129
2015, Sul  , Santa Catarina  , Xavantina  ,635,110,405,96,0,24,0,302,333,0,340,295,284,351,404,224,1,6,0,0,21,83,216,180,102,11,4,4,2,5,7
2015, Sul  , Santa Catarina  , Xaxim  ,6270,1608,3416,792,72,454,0,1690,4365,215,5931,339,2949,3321,1692,3677,131,746,15,9,872,706,1754,1502,959,85,96,79,63,45,109
2015, Sul  , Santa Catarina  , Zortéa  ,775,186,516,73,0,0,0,73,702,0,775,0,352,423,407,338,1,29,0,0,99,78,258,223,111,6,0,0,0,0,0
2015, Sul  , Rio Grande do Sul  , Aceguá  ,1024,121,689,163,0,51,0,284,740,0,553,471,513,511,311,598,23,92,0,0,1,113,320,317,220,23,16,1,4,5,4
2015, Sul  , Rio Grande do Sul  , Água Santa  ,789,154,452,133,0,50,0,292,497,0,666,123,379,410,244,408,1,17,0,119,62,86,243,199,157,19,11,5,2,2,3
2015, Sul  , Rio Grande do Sul  , Agudo  ,3116,462,1948,444,0,262,0,1201,1854,61,1938,1178,1599,1517,253,2471,54,335,3,0,149,294,914,851,643,101,79,35,23,16,11
2015, Sul  , Rio Grande do Sul  , Ajuricaba  ,1209,264,668,195,52,66,0,655,445,109,1037,172,610,599,307,734,16,148,2,2,107,146,367,316,188,28,20,6,7,5,19
2015, Sul  , Rio Grande do Sul  , Alecrim  ,1035,170,660,205,0,0,0,635,400,0,751,284,507,528,102,806,5,120,1,1,54,114,284,311,249,20,2,1,0,0,0
2015, Sul  , Rio Grande do Sul  , Alegrete  ,16776,2425,8764,3347,1091,1688,501,9416,5225,1634,14938,1838,8348,8428,12203,3846,200,491,20,16,862,1471,4446,4057,3262,878,751,311,216,165,357
2015, Sul  , Rio Grande do Sul  , Alegria  ,698,107,375,159,0,57,0,330,298,70,698,0,338,360,235,442,1,19,1,0,38,61,197,196,140,17,15,10,8,2,14
2015, Sul  , Rio Grande do Sul  , Almirante Tamandaré do Sul  ,299,69,192,27,0,11,0,146,153,0,200,99,142,157,92,188,2,14,3,0,28,36,104,84,34,8,3,1,1,0,0
2015, Sul  , Rio Grande do Sul  , Alpestre  ,1319,216,816,282,0,5,0,637,653,29,775,544,611,708,1153,152,0,12,0,2,61,135,436,378,266,18,8,2,3,3,9
2015, Sul  , Rio Grande do Sul  , Alto Alegre  ,328,82,160,68,0,18,0,187,141,0,269,59,151,177,289,35,0,4,0,0,44,33,80,83,68,4,7,3,1,2,3
2015, Sul  , Rio Grande do Sul  , Alto Feliz  ,479,129,263,87,0,0,0,142,337,0,457,22,229,250,154,316,2,7,0,0,64,61,130,125,90,9,0,0,0,0,0
2015, Sul  , Rio Grande do Sul  , Alvorada  ,44268,1644,30910,7409,729,3619,30,21351,17798,5089,44268,0,21837,22431,23167,16385,2452,2207,16,41,484,1024,14860,13424,9942,2070,1093,351,258,253,509
2015, Sul  , Rio Grande do Sul  , Amaral Ferrador  ,1192,85,786,266,0,55,0,544,648,0,709,483,564,628,619,470,65,33,4,1,0,79,410,386,230,30,26,10,6,4,11
2015, Sul  , Rio Grande do Sul  , Ametista do Sul  ,1651,268,1047,297,0,39,0,697,954,0,1578,73,832,819,11,1266,7,364,1,2,117,142,540,483,309,23,15,6,6,2,8
2015, Sul  , Rio Grande do Sul  , André da Rocha  ,208,41,132,35,0,0,0,94,114,0,208,0,100,108,42,123,3,40,0,0,19,22,68,54,38,4,2,1,0,0,0
2015, Sul  , Rio Grande do Sul  , Anta Gorda  ,923,149,579,195,0,0,0,397,236,290,769,154,469,454,387,527,1,8,0,0,62,79,313,275,169,21,2,1,1,0,0
